fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7,red
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,red
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4,red
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,red
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7,red
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,red
8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5,red
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5,red
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,red
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6,red
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,red
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,red
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,red
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5,red
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6,red
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,red
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,red
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6,red
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,red
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,red
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5,red
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,red
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,red
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,red
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,red
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,red
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,red
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6,red
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,red
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5,red
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,red
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6,red
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,red
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,white
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,white
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,white
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,white
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,white
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,white
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,white
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,white
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,white
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,white
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,white
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,white
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,white
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,white
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,white
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,white
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,white
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,white
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,white
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,white
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,white
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,white
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,white
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,white
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,white
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,white
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,white
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,white
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,white
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,white
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,white
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,white
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,white
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,white
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,white
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,white
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,white
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,white
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,white
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,white
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,white
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,white
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,white
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,white
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,white
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,white
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,white
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,white
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,white
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,white
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,white
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,white
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,white
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,white
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,white
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,white
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,white
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,white
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6,white
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,white
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,white
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,white
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,white
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,white
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,white
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,white
6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6,white
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6,white
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,white
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6,white
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,white
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5,white
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,white
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,white
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,white
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,white
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,white
6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,white
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,white
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,white
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,white
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5,white
6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,white
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,white
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,white
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7,white
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,white
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6,white
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,6,white
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7,white
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6,white
6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,white
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,white
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7,white
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,white
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6,white
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,white
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,white
6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,white
6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,6,white
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,white
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,white
7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7,white
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,white
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,white
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,white
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5,white
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,white
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6,white
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,white
5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7,white
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,white
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,white
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,white
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6,white
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7,white
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,white
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,white
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,white
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6,white
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,white
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6,white
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,white
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6,white
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,white
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5,white
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,white
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,white
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,white
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,white
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,white
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,white
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7,white
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,white
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,white
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,white
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5,white
6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6,white
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,white
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6,white
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5,white
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7,white
6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7,white
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,white
6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,white
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5,white
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6,white
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5,white
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,white
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5,white
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,white
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6,white
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,white
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,white
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5,white
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7,white
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,white
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7,white
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,white
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,white
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,white
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,white
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6,white
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,white
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,white
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6,white
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,white
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7,white
8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,white
6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,white
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,white
5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,white
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,white
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,white
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,white
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,white
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,white
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,white
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,white
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9,white
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,white
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7,white
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,white
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,white
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7,white
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,white
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,white
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,white
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,white
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,white
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,white
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7,white
6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,white
6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,white
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7,white
6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6,white
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,white
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,white
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,white
6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,white
6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8,white
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4,white
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5,white
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,white
7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7,white
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8,white
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5,white
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,white
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,white
6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,white
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,white
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,white
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,white
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5,white
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,white
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,white
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,white
6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,white
6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6,white
6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,white
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,white
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,white
6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5,white
6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,white
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,white
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,white
6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7,white
8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,white
6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5,white
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,white
6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6,white
7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,white
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,white
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,white
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4,white
7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7,white
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5,white
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,white
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,white
8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7,white
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6,white
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7,white
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7,white
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,white
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7,white
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7,white
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,white
7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,white
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,white
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,white
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5,white
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,white
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6,white
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,white
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6,white
9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,white
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,white
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,white
6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8,white
8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,white
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,white
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6,white
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,white
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,white
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,white
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,white
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,white
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,white
6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7,white
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5,white
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7,white
7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,6,white
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,white
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,white
6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6,white
